split,bits,margin,comparison,delta,ci_low,ci_high,source_groups,keys
test,1,0.0,outlier-minus-matched,-0.013888888888888888,-0.09045138888888889,0.055729166666666705,12,6
test,1,0.0001,outlier-minus-matched,-0.013888888888888888,-0.09027777777777778,0.04201388888888897,12,6
test,1,0.0005,outlier-minus-matched,-0.013888888888888888,-0.08350694444444444,0.048784722222222264,12,6
test,1,0.001,outlier-minus-matched,-0.013888888888888888,-0.08333333333333333,0.041840277777777816,12,6
test,2,0.0,outlier-minus-matched,-0.006944444444444444,-0.10451388888888889,0.07309027777777782,12,6
test,2,0.0001,outlier-minus-matched,-0.006944444444444444,-0.09027777777777778,0.06979166666666675,12,6
test,2,0.0005,outlier-minus-matched,-0.006944444444444444,-0.09036458333333333,0.06258680555555557,12,6
test,2,0.001,outlier-minus-matched,-0.006944444444444444,-0.08342013888888888,0.06597222222222222,12,6
test,3,0.0,outlier-minus-matched,0.001736111111111111,-0.078125,0.0625,12,6
test,3,0.0001,outlier-minus-matched,0.001736111111111111,-0.057421875,0.06080729166666667,12,6
test,3,0.0005,outlier-minus-matched,0.001736111111111111,-0.07122395833333332,0.05737847222222224,12,6
test,3,0.001,outlier-minus-matched,0.0,-0.07126736111111111,0.05733506944444445,12,6
ood,1,0.0,outlier-minus-matched,-0.006944444444444444,-0.08350694444444444,0.06267361111111115,12,6
ood,1,0.0001,outlier-minus-matched,-0.006944444444444444,-0.0763888888888889,0.0625,12,6
ood,1,0.0005,outlier-minus-matched,-0.006944444444444444,-0.08333333333333333,0.0763888888888889,12,6
ood,1,0.001,outlier-minus-matched,-0.006944444444444444,-0.06944444444444445,0.06267361111111115,12,6
ood,2,0.0,outlier-minus-matched,0.010416666666666666,-0.06605902777777778,0.1008680555555556,12,6
ood,2,0.0001,outlier-minus-matched,0.010416666666666666,-0.0763888888888889,0.10416666666666667,12,6
ood,2,0.0005,outlier-minus-matched,0.010416666666666666,-0.07664930555555556,0.09027777777777778,12,6
ood,2,0.001,outlier-minus-matched,0.013888888888888888,-0.06961805555555556,0.11458333333333333,12,6
ood,3,0.0,outlier-minus-matched,0.015625,-0.04691840277777778,0.06770833333333333,12,6
ood,3,0.0001,outlier-minus-matched,0.015625,-0.027951388888888883,0.08159722222222222,12,6
ood,3,0.0005,outlier-minus-matched,0.015625,-0.03819444444444445,0.07300347222222224,12,6
ood,3,0.001,outlier-minus-matched,0.019097222222222224,-0.033116319444444445,0.07118055555555555,12,6
