split,bits,margin,method,parents,matched_parents,coverage_all,coverage_matched,full_coverage_all,pool_proxy_tv_success
test,1,0.0,outlier,12,12,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.1684027777777778
test,1,0.0,matched,12,12,0.9722222222222222,0.9722222222222222,0.9444444444444444,0.16493055555555555
test,1,0.0,random,12,12,0.9722222222222222,0.9722222222222222,0.9444444444444444,0.1701388888888889
test,1,0.0,nearest,12,12,0.9722222222222222,0.9722222222222222,0.9444444444444444,0.16493055555555555
test,1,0.0001,outlier,12,12,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.1684027777777778
test,1,0.0001,matched,12,12,0.9722222222222222,0.9722222222222222,0.9444444444444444,0.16493055555555555
test,1,0.0001,random,12,12,0.9722222222222222,0.9722222222222222,0.9444444444444444,0.1701388888888889
test,1,0.0001,nearest,12,12,0.9722222222222222,0.9722222222222222,0.9444444444444444,0.16666666666666666
test,1,0.0005,outlier,12,12,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.1684027777777778
test,1,0.0005,matched,12,12,0.9722222222222222,0.9722222222222222,0.9444444444444444,0.16666666666666666
test,1,0.0005,random,12,12,0.9722222222222222,0.9722222222222222,0.9444444444444444,0.1736111111111111
test,1,0.0005,nearest,12,12,0.9722222222222222,0.9722222222222222,0.9444444444444444,0.1684027777777778
test,1,0.001,outlier,12,12,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.1736111111111111
test,1,0.001,matched,12,12,0.9722222222222222,0.9722222222222222,0.9444444444444444,0.1684027777777778
test,1,0.001,random,12,12,0.9722222222222222,0.9722222222222222,0.9444444444444444,0.17881944444444445
test,1,0.001,nearest,12,12,0.9722222222222222,0.9722222222222222,0.9444444444444444,0.1701388888888889
test,2,0.0,outlier,12,12,0.8055555555555556,0.8055555555555556,0.3333333333333333,0.2152777777777778
test,2,0.0,matched,12,12,0.8125,0.8125,0.4027777777777778,0.2060185185185185
test,2,0.0,random,12,12,0.8159722222222222,0.8159722222222222,0.3472222222222222,0.22511574074074073
test,2,0.0,nearest,12,12,0.8541666666666666,0.8541666666666666,0.5277777777777778,0.1903935185185185
test,2,0.0001,outlier,12,12,0.8055555555555556,0.8055555555555556,0.3333333333333333,0.2152777777777778
test,2,0.0001,matched,12,12,0.8125,0.8125,0.4027777777777778,0.20717592592592593
test,2,0.0001,random,12,12,0.8159722222222222,0.8159722222222222,0.3472222222222222,0.22511574074074073
test,2,0.0001,nearest,12,12,0.8541666666666666,0.8541666666666666,0.5277777777777778,0.1903935185185185
test,2,0.0005,outlier,12,12,0.8055555555555556,0.8055555555555556,0.3333333333333333,0.2152777777777778
test,2,0.0005,matched,12,12,0.8125,0.8125,0.4027777777777778,0.21006944444444445
test,2,0.0005,random,12,12,0.8125,0.8125,0.3333333333333333,0.22569444444444445
test,2,0.0005,nearest,12,12,0.8506944444444444,0.8506944444444444,0.5138888888888888,0.1909722222222222
test,2,0.001,outlier,12,12,0.8055555555555556,0.8055555555555556,0.3333333333333333,0.2170138888888889
test,2,0.001,matched,12,12,0.8125,0.8125,0.4027777777777778,0.21180555555555555
test,2,0.001,random,12,12,0.8125,0.8125,0.3333333333333333,0.23032407407407407
test,2,0.001,nearest,12,12,0.8506944444444444,0.8506944444444444,0.5138888888888888,0.19386574074074073
test,3,0.0,outlier,12,12,0.5659722222222222,0.5659722222222222,0.0,0.2027777777777778
test,3,0.0,matched,12,12,0.5642361111111112,0.5642361111111112,0.0,0.2064318783068783
test,3,0.0,random,12,12,0.5798611111111112,0.5798611111111112,0.0,0.19824735449735453
