trial,method,split,payload_bytes,bits_per_sentence,margin,encoding_success,byte_exact,ber_accepted,wire_tokens,wire_bytes,recovered_message_bits,seconds,failure
0,outlier,test,1,1,0.0001,False,False,,,0,0,0.11057654302567244,"{'block': 0, 'reason': 'candidate_selection_failed'}"
0,matched,test,1,1,0.0001,False,False,,,0,0,0.10016972897574306,"{'block': 0, 'reason': 'candidate_selection_failed'}"
0,random,test,1,1,0.0001,False,False,,,0,0,0.09745667711831629,"{'block': 0, 'reason': 'candidate_selection_failed'}"
0,nearest,test,1,1,0.0001,False,False,,,0,0,0.09738982794806361,"{'block': 0, 'reason': 'candidate_selection_failed'}"
1,outlier,test,1,1,0.0001,False,False,,,0,0,0.09776013600639999,"{'block': 0, 'reason': 'candidate_selection_failed'}"
1,matched,test,1,1,0.0001,False,False,,,0,0,0.0967815110925585,"{'block': 0, 'reason': 'candidate_selection_failed'}"
1,random,test,1,1,0.0001,False,False,,,0,0,0.0972674482036382,"{'block': 0, 'reason': 'candidate_selection_failed'}"
1,nearest,test,1,1,0.0001,False,False,,,0,0,0.10338610806502402,"{'block': 0, 'reason': 'candidate_selection_failed'}"
2,outlier,test,1,1,0.0001,False,False,,,0,0,0.09876812295988202,"{'block': 0, 'reason': 'candidate_selection_failed'}"
2,matched,test,1,1,0.0001,False,False,,,0,0,0.09628926194272935,"{'block': 0, 'reason': 'candidate_selection_failed'}"
2,random,test,1,1,0.0001,False,False,,,0,0,0.09559641382656991,"{'block': 0, 'reason': 'candidate_selection_failed'}"
2,nearest,test,1,1,0.0001,False,False,,,0,0,0.09748894697986543,"{'block': 0, 'reason': 'candidate_selection_failed'}"
3,outlier,test,1,1,0.0001,False,False,,,0,0,0.10030861804261804,"{'block': 0, 'reason': 'candidate_selection_failed'}"
3,matched,test,1,1,0.0001,False,False,,,0,0,0.09624867211095989,"{'block': 0, 'reason': 'candidate_selection_failed'}"
3,random,test,1,1,0.0001,False,False,,,0,0,0.09609316196292639,"{'block': 0, 'reason': 'candidate_selection_failed'}"
3,nearest,test,1,1,0.0001,False,False,,,0,0,0.09840223495848477,"{'block': 0, 'reason': 'candidate_selection_failed'}"
4,outlier,test,1,1,0.0001,False,False,,,0,0,0.09765917691402137,"{'block': 0, 'reason': 'candidate_selection_failed'}"
4,matched,test,1,1,0.0001,False,False,,,0,0,0.09605287201702595,"{'block': 0, 'reason': 'candidate_selection_failed'}"
4,random,test,1,1,0.0001,False,False,,,0,0,0.09694277006201446,"{'block': 0, 'reason': 'candidate_selection_failed'}"
